time_ms,cwnd,ssthresh
2.57,27.51,16.00
2.58,27.54,16.00
2.59,27.58,16.00
2.59,27.61,16.00
2.60,27.65,16.00
2.60,27.69,16.00
2.61,27.72,16.00
2.63,27.76,16.00
2.65,27.79,16.00
2.66,27.83,16.00
2.67,27.87,16.00
2.68,27.90,16.00
2.68,27.94,16.00
2.69,27.97,16.00
2.70,28.01,16.00
2.70,28.05,16.00
2.71,28.08,16.00
2.72,28.12,16.00
2.72,28.15,16.00
2.73,28.19,16.00
2.74,28.22,16.00
2.74,28.26,16.00
2.75,28.29,16.00
2.76,28.33,16.00
2.77,28.37,16.00
2.77,28.40,16.00
2.78,28.44,16.00
2.78,28.47,16.00
2.79,28.51,16.00
2.80,28.54,16.00
2.80,28.58,16.00
2.81,28.61,16.00
2.82,28.65,16.00
2.83,28.68,16.00
2.84,28.72,16.00
2.84,28.75,16.00
2.85,28.79,16.00
2.85,28.82,16.00
2.86,28.85,16.00
2.87,28.89,16.00
2.87,28.92,16.00
2.88,28.96,16.00
2.89,28.99,16.00
2.90,29.03,16.00
2.91,29.06,16.00
2.91,29.10,16.00
2.92,29.13,16.00
2.92,29.17,16.00
2.93,29.20,16.00
2.94,29.23,16.00
2.94,29.27,16.00
2.95,29.30,16.00
2.96,29.34,16.00
2.97,29.37,16.00
2.97,29.40,16.00
2.98,29.44,16.00
2.99,29.47,16.00
3.00,29.51,16.00
3.00,29.54,16.00
3.01,29.57,16.00
3.02,29.61,16.00
3.03,29.64,16.00
3.04,29.68,16.00
3.04,29.71,16.00
3.05,29.74,16.00
3.06,29.78,16.00
3.07,29.81,16.00
3.08,29.84,16.00
3.08,29.88,16.00
3.09,29.91,16.00
3.09,29.94,16.00
3.10,29.98,16.00
3.11,30.01,16.00
3.12,30.04,16.00
3.13,30.08,16.00
3.14,30.11,16.00
3.15,30.14,16.00
3.15,30.18,16.00
3.16,30.21,16.00
3.17,30.24,16.00
3.17,30.28,16.00
3.18,30.31,16.00
3.19,30.34,16.00
3.20,30.38,16.00
3.22,30.41,16.00
3.23,30.44,16.00
3.24,30.47,16.00
3.24,30.51,16.00
3.25,30.54,16.00
3.25,30.57,16.00
3.26,30.60,16.00
3.30,30.64,16.00
3.31,30.67,16.00
3.32,30.70,16.00
3.33,30.74,16.00
3.33,30.77,16.00
3.34,30.80,16.00
3.35,30.83,16.00
3.37,30.87,16.00
3.38,30.90,16.00
3.40,30.93,16.00
3.42,30.96,16.00
3.45,30.99,16.00
3.48,31.03,16.00
3.50,31.06,16.00
3.52,31.09,16.00
3.53,31.12,16.00
3.54,31.16,16.00
3.56,31.19,16.00
3.58,31.22,16.00
3.60,31.25,16.00
3.63,31.28,16.00
3.65,31.32,16.00
3.67,31.35,16.00
3.69,31.38,16.00
3.71,31.41,16.00
3.73,31.44,16.00
3.76,31.48,16.00
3.78,31.51,16.00
3.80,31.54,16.00
3.82,31.57,16.00
3.84,31.60,16.00
3.85,31.63,16.00
3.87,31.67,16.00
3.89,31.70,16.00
3.91,31.73,16.00
3.94,31.76,16.00
3.96,31.79,16.00
3.98,31.82,16.00
4.00,31.85,16.00
4.02,31.89,16.00
4.04,31.92,16.00
4.08,31.95,16.00
4.10,31.98,16.00
4.15,32.01,16.00
4.16,32.04,16.00
4.17,32.07,16.00
4.18,32.10,16.00
4.19,32.14,16.00
4.21,32.17,16.00
4.22,32.20,16.00
4.23,32.23,16.00
4.26,32.26,16.00
4.28,32.29,16.00
4.30,32.32,16.00
4.32,32.35,16.00
4.33,32.38,16.00
4.35,32.41,16.00
4.37,32.45,16.00
4.39,32.48,16.00
4.41,32.51,16.00
4.43,32.54,16.00
4.46,32.57,16.00
4.47,32.60,16.00
4.49,32.63,16.00
