time_ms,cwnd,ssthresh
33858.23,1.00,1.00
33957.28,1.00,1.00
33958.41,2.00,1.00
34058.74,2.50,1.00
34158.94,2.90,1.00
34259.18,3.24,1.00
34359.43,3.55,1.00
34459.72,3.83,1.00
34559.97,4.10,1.00
34860.23,1.00,2.05
35061.39,1.00,1.00
35160.57,1.00,1.00
35362.09,2.00,1.00
35462.35,2.50,1.00
35562.66,2.90,1.00
35662.89,3.24,1.00
35963.22,1.00,1.62
36164.17,1.00,1.00
36263.51,1.00,1.00
36464.96,1.00,1.00
36563.80,1.00,1.00
36565.06,2.00,1.00
36702.33,2.50,1.00
36802.59,2.90,1.00
37102.88,1.00,1.45
37304.07,1.00,1.00
37403.19,1.00,1.00
37604.81,2.00,1.00
37705.09,2.50,1.00
38005.44,1.00,1.25
38106.02,2.00,1.25
38206.27,2.50,1.25
38306.50,2.90,1.25
38406.74,3.24,1.25
38506.93,3.55,1.25
38607.21,3.83,1.25
38907.44,1.00,1.92
39007.88,2.00,1.92
39108.11,2.50,1.92
39208.35,2.90,1.92
39508.84,1.00,1.45
39609.37,2.00,1.45
39709.71,2.50,1.45
39809.97,2.90,1.45
39910.27,3.24,1.45
40210.55,1.00,1.62
40311.06,2.00,1.62
40411.37,2.50,1.62
40511.74,2.90,1.62
40612.07,3.24,1.62
40712.32,3.55,1.62
40812.57,3.83,1.62
40912.91,4.10,1.62
41013.17,4.34,1.62
41113.55,4.57,1.62
41214.50,4.79,1.62
41514.90,2.39,2.39
41516.00,1.00,1.20
41615.34,2.00,1.20
41815.84,2.50,1.20
41916.13,2.90,1.20
42016.56,3.24,1.20
42116.90,3.55,1.20
42217.21,3.83,1.20
42317.53,4.10,1.20
42675.81,1.00,2.05
42776.39,2.00,2.05
42876.80,3.00,2.05
42977.08,3.33,2.05
43077.34,3.63,2.05
43177.67,3.91,2.05
43478.04,1.00,1.95
43578.59,2.00,1.95
43678.91,2.50,1.95
43779.16,2.90,1.95
44079.53,1.00,1.45
44180.00,2.00,1.45
44280.27,2.50,1.45
44380.52,2.90,1.45
44480.86,3.24,1.45
44581.20,3.55,1.45
44681.49,3.83,1.45
44781.76,4.10,1.45
44882.01,4.34,1.45
44982.27,4.57,1.45
45082.56,4.79,1.45
45182.90,5.00,1.45
45283.01,5.20,1.45
45383.24,5.39,1.45
45483.51,5.58,1.45
45583.73,5.75,1.45
45684.00,5.93,1.45
45784.24,6.10,1.45
45884.49,6.26,1.45
45984.77,6.42,1.45
46084.98,6.58,1.45
46185.27,6.73,1.45
46285.54,6.88,1.45
46585.76,1.00,3.44
46786.85,1.00,1.00
46886.04,1.00,1.00
47087.49,2.00,1.00
47287.99,2.50,1.00
